Name,Team,Sport,num_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"Mikhail M. Dorizas",Greece,Athletics,2,0,1,1
"Leonard Dorin Doroftei",Romania,Boxing,2,0,0,2
"Vladimir Vyacheslavovich Dorokhov","Soviet Union",Volleyball,2,1,1,0
"Drew Doughty",Canada,"Ice Hockey",2,2,0,0
"Vladimir Petrovich Drachov",Russia,Biathlon,2,0,1,1
"Cezar Drgni",Romania,Handball,2,0,1,1
"Victoria Manalo "Vicki"" Draves"","United States",Diving,2,2,0,0
"Otis Paul Drayton","United States",Athletics,2,1,1,0
"Heike Gabriela Drechsler (Daute-)",Germany,Athletics,2,2,0,0
"Joachim Dreifke","East Germany",Rowing,2,1,0,1
"Caeleb Remel Dressel","United States",Swimming,2,2,0,0
"Egon Drews",Germany,Canoeing,2,0,0,2
"Yves Dreyfus",France,Fencing,2,0,0,2
"Johan Frederik "Han"" Drijver"",Netherlands,Hockey,2,0,1,1
"Marie-ve Drolet",Canada,"Short Track Speed Skating",2,0,1,1
"Derek Drouin",Canada,Athletics,2,1,0,1
"Jonathan A. "Jon"" Drummond"","United States",Athletics,2,1,1,0
"Christopher Ellis "Chris"" Drury"","United States","Ice Hockey",2,0,2,0
"Herbert John "Herb"" Drury"","United States","Ice Hockey",2,0,2,0
"Guy Drut",France,Athletics,2,1,1,0
"Franck Ducheix",France,Fencing,2,0,1,1
"Milena Duchkov (-Neveklovsk)",Czechoslovakia,Diving,2,1,1,0
"Virginia Ruth "Ginny"" Duenkel"","United States",Swimming,2,1,0,1
"Meghan Duggan","United States","Ice Hockey",2,0,2,0
"Paul Lon Auguste Louis Joseph Dujardin",France,"Water Polo",2,1,0,1
"Martins Dukurs",Latvia,Skeleton,2,0,2,0
"Alina Alexandra Dumitru (-Croitoru)",Romania,Judo,2,1,1,0
"Marian Dumitru",Romania,Handball,2,0,0,2
"Viorica Dumitru",Romania,Canoeing,2,0,0,2
"Antal Dunai (Dujmov)",Hungary,Football,2,1,1,0
"Joshua Dunkley-Smith",Australia,Rowing,2,0,2,0
"Jacques Dupont",France,Cycling,2,1,0,1
"Lori Dupuis",Canada,"Ice Hockey",2,1,1,0
"Osman Duraliev",Bulgaria,Wrestling,2,0,2,0
"Pierre Durand  Jr.",France,Equestrianism,2,1,0,1
"Hugh Durant","Great Britain",Shooting,2,0,0,2
"Kevin Wayne Durant","United States",Basketball,2,2,0,0
"Cornel Duru",Romania,Handball,2,0,0,2
"Reinhold Durnthaler",Austria-1,Bobsleigh,2,0,2,0
"Nathaniel James "Nate"" Dusing"","United States",Swimming,2,0,1,1
"Keshav Chandra Dutt",India,Hockey,2,2,0,0
"Phillip Peter Dutton",Australia,Equestrianism,2,2,0,0
"Kristine Duvholt (-Havns)",Norway,Handball,2,0,1,1
"Bernd Duvigneau","East Germany",Canoeing,2,1,0,1
"Talant Mushanbetovich Duyshebayev",Spain,Handball,2,0,0,2
"Veselin uho",Yugoslavia,"Water Polo",2,2,0,0
"Mirjana urica",Yugoslavia,Handball,2,1,1,0
"Ivan Fyodorovich Dychko",Kazakhstan,Boxing,2,0,0,2
"Izabella Dylewska-wiatowiak",Poland,Canoeing,2,0,0,2
"Gustaf Peder Wilhelm Dyrssen",Sweden,"Modern Pentathlon",2,1,1,0
"Athol John "Joe"" Earl"","New Zealand",Rowing,2,1,0,1
"Ashton James Eaton","United States",Athletics,2,2,0,0
"Martin Henri Eberhardt",France,Canoeing,2,0,1,1
"Gertrd Emilia Eberle (-Kollar)",Romania,Gymnastics,2,0,2,0
"Masashi Ebinuma",Japan,Judo,2,0,0,2
"Jan Stefan Edberg",Sweden,Tennis,2,0,0,2
"Simon Eder",Austria,Biathlon,2,0,1,1
"Edson "Edson Bispo"" Bispo dos Santos"",Brazil,Basketball,2,0,0,2
"Ann-Louise Carina Edstrand",Sweden,"Ice Hockey",2,0,1,1
"Vincent Franz Harry Edward","Great Britain",Athletics,2,0,0,2
"Hugh Robert Arthur Edwards","Great Britain",Rowing,2,2,0,0
"Jonathan David Edwards","Great Britain",Athletics,2,1,1,0
"Markus Eggler",Switzerland,Curling,2,0,0,2
"Richard Phillip "Ric"" Egington"","Great Britain",Rowing,2,0,1,1
"Wolfgang Ehrl",Germany,Wrestling,2,0,2,0
"Marten Eikelboom",Netherlands,Hockey,2,1,1,0
"John Lincoln Eisele","United States",Athletics,2,0,1,1
"Julius Eisenecker",Germany,Fencing,2,0,0,2
"Lloyd Edgar Eisler  Jr.",Canada-1,"Figure Skating",2,0,0,2
"John Wicktor Eke (Jonsson-)",Sweden,Athletics,2,1,0,1
"Thom Lennart Eklund",Sweden,"Ice Hockey",2,0,0,2
"James Robert "Jim"" Elder"",Canada,Equestrianism,2,1,0,1
"Troy Elder",Australia,Hockey,2,1,0,1
"Marlene Elejarde Daz",Cuba,Athletics,2,0,1,1
"Joa Anna Elisabeth Elfsberg (Engvall-)",Sweden,"Ice Hockey",2,0,1,1
"Ole Martin Ellefster",Norway,"Cross Country Skiing",2,2,0,0
"Launceston Elliot","Great Britain",Weightlifting,2,1,1,0
"Lachlan Anthony Elmer",Australia,Hockey,2,0,1,1
"Patricia Anne "Patsy"" Elsener (-Homan)"","United States",Diving,2,0,1,1
"Emanuel Fernando Scheffler Rego",Brazil-1,"Beach Volleyball",2,1,1,0
"Ren Enders",Germany,Cycling,2,0,0,2
"Tnu Endrekson",Estonia,Rowing,2,0,1,1
"Toralf Engan",Norway,"Ski Jumping",2,1,1,0
"Nils Erik Engdahl",Sweden,Athletics,2,0,1,1
"Hermann Engelhard",Germany,Athletics,2,0,1,1
"Molly Marie Engstrom","United States","Ice Hockey",2,0,1,1
"Jessica Phyllis Ennis-Hill","Great Britain",Athletics,2,1,1,0
"Michel Enrquez Tamayo",Cuba,Baseball,2,1,1,0
"Susi-Lisa Erdmann (-Plankensteiner)",Germany,Luge,2,0,1,1
"Alexandra Georgiana Maria Eremia",Romania,Gymnastics,2,1,0,1
"Claus Erhorn","West Germany",Equestrianism,2,1,0,1
"Johan Sigvard Ericsson",Sweden,"Speed Skating",2,1,1,0
"Stein Eriksen",Norway,"Alpine Skiing",2,1,1,0
"Krng Erik Gunnar Eriksson",Sweden,"Cross Country Skiing",2,1,0,1
"Lars Hkan Elias Eriksson",Sweden,"Ice Hockey",2,0,0,2
"Bo Thomas Eriksson",Sweden,"Ice Hockey",2,0,0,2
"Philippe Ermenault",France,Cycling,2,1,1,0
"Nadine Ernsting-Krienke",Germany,Hockey,2,1,1,0
"Arianna Errigo",Italy,Fencing,2,1,1,0
"Sergi Escobar Roure",Spain,Cycling,2,0,0,2
"Gro Espeseth",Norway,Football,2,1,0,1
"Paola Milagros Espinosa Snchez",Mexico,Diving,2,0,1,1
"Rius Theo "Dick"" Esser"",Netherlands,Hockey,2,0,1,1
"Magnar Estenstad",Norway,"Cross Country Skiing",2,0,1,1
"Ellen Marie Estes (-Lee)","United States","Water Polo",2,0,1,1
"Manuel Estiarte Duocastella",Spain,"Water Polo",2,1,1,0
"Jos Antonio Estrada Gonzlez",Cuba,Baseball,2,2,0,0
"Lee Edward Evans","United States",Athletics,2,2,0,0
"Raymond Garry "Ray"" Evans"",Australia,Hockey,2,0,1,1
"Daniel Joseph "Danny Joe"" Everett"","United States",Athletics,2,1,0,1
"Floris Maarten Alphons Maria Evers",Netherlands,Hockey,2,0,2,0
"Meike Evers",Germany,Rowing,2,2,0,0
"Caroline Frances Evers-Swindell (-Meyer)","New Zealand",Rowing,2,2,0,0
"Georgina Emma Buchanan Evers-Swindell (-Earl)","New Zealand",Rowing,2,2,0,0
"Patrick Aloysius Ewing","United States",Basketball,2,2,0,0
"Walter Hamilton Ewing",Canada,Shooting,2,1,1,0
"John Onins Exley  Jr.","Vesper Boat Club",Rowing,2,2,0,0
"Fabiana "Fabi"" Alvim de Oliveira"",Brazil,Volleyball,2,2,0,0
"Dezs Fbin",Hungary,"Water Polo",2,1,1,0
"Fabiana Marcelino Claudino",Brazil,Volleyball,2,2,0,0
"Ignazio Fabra",Italy,Wrestling,2,0,2,0
"Leandro Faggin",Italy,Cycling,2,2,0,0
"Aeriwentha Mae Faggs (-Starr)","United States",Athletics,2,1,0,1
"David William Fairbank","United States",Swimming,2,2,0,0
"Hildegard Falck (Janze-  -Kimmich)","West Germany",Athletics,2,1,0,1
"Anne-Marie "Annie"" Famose (-Bremont)"",France,"Alpine Skiing",2,0,1,1
"Fan Bin",China,Gymnastics,2,0,1,1
"Hans-Johann Frber","West Germany",Rowing,2,1,0,1
"Gianluca Farina",Italy,Rowing,2,1,0,1
"Andrea Farkas (-Sgor)",Hungary,Handball,2,0,1,1
"Imre Farkas",Hungary,Canoeing,2,0,0,2
"Felix Jeffrey "Jeff"" Farrell"","United States",Swimming,2,2,0,0
"Renita Maree Farrell-Garard",Australia,Hockey,2,2,0,0
"Krisztina Fazekas Zur",Hungary,Canoeing,2,2,0,0
"Victor Alexander Feddersen",Denmark,Rowing,2,1,0,1
"Roger Federer",Switzerland,Tennis,2,1,1,0
"Anatoly Viktorovich Fedyukin","Soviet Union",Handball,2,1,1,0
"James "Jimmy"" Feigen"","United States",Swimming,2,1,1,0
"Alfred Felber",Switzerland,Rowing,2,1,0,1
"Feng Kai",China,"Short Track Speed Skating",2,0,0,2
"Feng Kun",China,Volleyball,2,1,0,1
"Feng Zhe",China,Gymnastics,2,2,0,0
"Anna Fenninger (-Veith)",Austria,"Alpine Skiing",2,1,1,0
"Svetlana Yevgenyevna Feofanova",Russia,Athletics,2,0,1,1
"Cathy Jane Ferguson (-Brennan)","United States",Swimming,2,2,0,0
"Beatriz Cristina "Gigi"" Fernandez"","United States",Tennis,2,2,0,0
"Mara Isabel Fernndez Gutirrez",Spain,Judo,2,1,0,1
"Jrme Fernandez",France,Handball,2,2,0,0
"Xabier Fernndez Gaztaaga",Spain,Sailing,2,1,1,0
"Giancarlo Ferrari",Italy,Archery,2,0,0,2
"Roberto Ferrari",Italy,Fencing,2,0,1,1
"Pierpaolo Ferrazzi",Italy,Canoeing,2,1,0,1
"Barbara Ann Ferrell (-Edmonson)","United States",Athletics,2,1,1,0
"Beatriz Ferrer-Salat Serra de Migui",Spain,Equestrianism,2,0,1,1
"John Edward Ferris","United States",Swimming,2,0,0,2
"Michelle Louise Ferris",Australia,Cycling,2,0,2,0
"Nelli Vasilyevna Feryabnikova (Bilmayer-)","Soviet Union",Basketball,2,2,0,0
"Serhiy Leonidovych Fesenko","Soviet Union",Swimming,2,1,1,0
"Anja Fichtel-Mauritz (-Koper)","West Germany",Fencing,2,2,0,0
"Anja Fichtel-Mauritz (-Koper)",Germany,Fencing,2,0,1,1
"John Charles Field-Richards",Gyrinus-1,Motorboating,2,2,0,0
"Michela Figini (-Camozzi)",Switzerland,"Alpine Skiing",2,1,1,0
"Pietro Figlioli",Italy,"Water Polo",2,0,1,1
"scar Albeyro Figueroa Mosquera",Colombia,Weightlifting,2,1,1,0
"Enrique Figuerola Camu",Cuba,Athletics,2,0,2,0
"Yuriy Mykolaiovych Filatov","Soviet Union",Canoeing,2,2,0,0
"Jens Filbrich",Germany,"Cross Country Skiing",2,0,1,1
"Roseline Filion",Canada,Diving,2,0,0,2
"Jennie Lynn Finch (-Daigle)","United States",Softball,2,1,1,0
"Louis Casimir Finet",Belgium,Equestrianism,2,1,0,1
"Donald Osborne "Don"" Finlay"","Great Britain",Athletics,2,0,1,1
"Domenico Fioravanti",Italy,Swimming,2,2,0,0
"Carsten Fischer","West Germany",Hockey,2,0,2,0
"Friedrich "Fritz"" Fischer"","West Germany",Biathlon,2,0,1,1
"Hugh Fisher",Canada,Canoeing,2,1,0,1
"Edwin Harold "Teddy"" Flack"",Australia,Athletics,2,2,0,0
"Didier Flament",France,Fencing,2,1,0,1
"Gustav Felix Flatow",Germany,Gymnastics,2,2,0,0
"Thomas Flemming","East Germany",Swimming,2,0,1,1
"Jennie Fletcher (-Hyslop)","Great Britain",Swimming,2,1,0,1
"Deborah Kirsty "Debbie"" Flood"","Great Britain",Rowing,2,0,2,0
"Rodica Maria Florea-erban",Romania,Rowing,2,1,0,1
"David Florence","Great Britain",Canoeing,2,0,2,0
"Ronald Florijn",Netherlands,Rowing,2,2,0,0
"Horst Floth","West Germany-1",Bobsleigh,2,0,2,0
"Tairia Flowers","United States",Softball,2,1,1,0
"Bror Karl Fock",Sweden,Athletics,2,1,1,0
"Rajmund Fodor",Hungary,"Water Polo",2,2,0,0
"Dezs Fldes",Hungary,Fencing,2,2,0,0
"Emilio Fontanella","Bucintoro Venezia",Rowing,2,2,0,0
"Frank Forberger","East Germany",Rowing,2,2,0,0
"John Robert Forbes",Australia,Sailing,2,0,1,1
"Michelle Jan Ford (-Eriksson)",Australia,Swimming,2,1,0,1
"Wilfrid Forgues",France-1,Canoeing,2,1,0,1
"Miraildes "Formiga"" Maciel Mota"",Brazil,Football,2,0,2,0
"Peter Mattias Forsberg",Sweden,"Ice Hockey",2,2,0,0
"Carl Otto Forssell",Sweden,Fencing,2,0,1,1
"Eino Vilho Forsstrm",Finland,Gymnastics,2,0,1,1
"Karsten Forsterling",Australia,Rowing,2,0,1,1
"Scott Thomas Fortune","United States",Volleyball,2,1,0,1
"Timothy James Carrington "Tim"" Foster"","Great Britain",Rowing,2,1,0,1
"William "Willie"" Foster"","Great Britain",Swimming,2,1,0,1
"Ladislav Fouek",Czechoslovakia,Cycling,2,0,2,0
"June Florence Foulds-Paul (-Carroll  -Reynolds)","Great Britain",Athletics,2,0,1,1
"Catherine Mai-Lan Fox","United States",Swimming,2,2,0,0
"Jessica Esther "Jess"" Fox"",Australia,Canoeing,2,0,1,1
"Zsuzsanna "Susan"" Francia"","United States",Rowing,2,2,0,0
"Lars Gunnar Martin Frndesj",Sweden,Handball,2,0,2,0
"Tobias Frank","West Germany",Hockey,2,0,2,0
"Gretchen Claudia Fraser (Kunigk-)","United States","Alpine Skiing",2,1,1,0
"Herman Ronald Frazier","United States",Athletics,2,1,0,1
"Marcel Gaston Charles Frbourg","Socit Nautique de la Basse Seine-1",Rowing,2,0,1,1
"Sylvie Frchette (-Van Strydonck)",Canada,"Synchronized Swimming",2,1,1,0
"Carl Peder Fredricson",Sweden,Equestrianism,2,0,2,0
"Karl Daniel Thobias Fredriksson",Sweden,"Cross Country Skiing",2,1,0,1
"Duncan Seth Free",Australia,Rowing,2,1,0,1
"Catherine Astrid Salome "Cathy"" Freeman"",Australia,Athletics,2,1,1,0
"Carlo Fregosi",Italy,Gymnastics,2,2,0,0
"Karl Frei",Switzerland,Gymnastics,2,1,1,0
"Carl-Friedrich Freiherr von Langen-Parow",Germany,Equestrianism,2,2,0,0
"Peter Frenkel","East Germany",Athletics,2,1,0,1
"Antoaneta Nikolova Frenkeva",Bulgaria,Swimming,2,0,1,1
"Oszkr Frey",Hungary,Canoeing,2,0,0,2
"Gal Fridman",Israel,Sailing,2,1,0,1
"Volker Fried","West Germany",Hockey,2,0,2,0
"Tadeusz Friedrich",Poland,Fencing,2,0,0,2
"Oskar David "Oskari"" Friman"",Finland,Wrestling,2,2,0,0
"Christopher Clive "Chris"" Froome"","Great Britain",Cycling,2,0,0,2
"Katrine Fruelund",Denmark,Handball,2,2,0,0
"Florian Fuchs",Germany,Hockey,2,1,0,1
"James Emanuel "Jim"" Fuchs"","United States",Athletics,2,0,0,2
"Ruth Fuchs (Gamm-  -Hellmann)","East Germany",Athletics,2,2,0,0
"Raika Fujii",Japan,"Synchronized Swimming",2,0,1,1
"Takuro Fujii",Japan,Swimming,2,0,1,1
"Kosuke Fukudome",Japan,Baseball,2,0,1,1
"Ai Fukuhara",Japan,"Table Tennis",2,0,1,1
"Makoto Fukui",Japan,Swimming,2,0,1,1
"Magdalena Fularczyk-Kozowska",Poland,Rowing,2,1,0,1
"Arthur George Fulton","Great Britain",Shooting,2,0,2,0
"Bruce MacFarlane Furniss","United States",Swimming,2,2,0,0
"Savatheda Fynes",Bahamas,Athletics,2,1,1,0
"Sergey Viktorovich Fyodorov",Russia,"Ice Hockey",2,0,1,1
"Ernst Gaber",Germany,Rowing,2,1,1,0
"Karam Mohamed Gaber Ibrahim",Egypt,Wrestling,2,1,1,0
"Pierino Gabetti",Italy,Weightlifting,2,1,1,0
"Sante Giovanni Gaiardoni",Italy,Cycling,2,2,0,0
"Paul Gailly",Belgium,"Water Polo",2,0,2,0
"Chryste Dionne Gaines","United States",Athletics,2,1,0,1
"Petros Galaktopoulos",Greece,Wrestling,2,0,1,1
"Giuseppe Galante",Italy,Rowing,2,0,2,0
"Kimberly Ann "Kim"" Gallagher"","United States",Athletics,2,0,1,1
"Ercole Gallegati",Italy,Wrestling,2,0,0,2
"Valentino Gallo",Italy,"Water Polo",2,0,1,1
"Gleb Sergeyevich Galperin",Russia,Diving,2,0,0,2
"Vera Illarionovna Galushka-Duyunova","Soviet Union",Volleyball,2,2,0,0
"Felicity Madeline Galvez",Australia,Swimming,2,2,0,0
"Ezio Gamba",Italy,Judo,2,1,1,0
"Yekaterina Aleksandrovna Gamova",Russia,Volleyball,2,0,2,0
"Georges Louis Gandil",France,Canoeing,2,0,0,2
"Laurent Jacques Andr Gan",France,Cycling,2,1,0,1
"Franois Lucien Gangloff",France,Gymnastics,2,0,2,0
"Mark Daniel Gangloff","United States",Swimming,2,2,0,0
"Gao E",China,Shooting,2,0,0,2
"Gao Ling",China-2,Badminton,2,2,0,0
"Gao Min",China,Diving,2,2,0,0
"Ivan Ivanovich Garanin","Soviet Union","Cross Country Skiing",2,0,0,2
"Nancy Ellen Garapick",Canada,Swimming,2,0,0,2
"Rolando Garbey Garbey",Cuba,Boxing,2,0,1,1
"Monique Garbrecht-Enfeldt",Germany,"Speed Skating",2,0,1,1
"Sergey Nikolayevich Garbuzov",Russia,"Water Polo",2,0,1,1
"Anier Octavio Garca Ortz",Cuba,Athletics,2,1,0,1
"Hctor Garca Otero",Uruguay,Basketball,2,0,0,2
"Oscar Manuel Garca Prez",Cuba,Fencing,2,0,1,1
"Pedro Francisco Garca Aguado",Spain,"Water Polo",2,1,1,0
"Andrea Gardini",Italy,Volleyball,2,0,1,1
"Rulon E. Gardner","United States",Wrestling,2,1,0,1
"Prodan Stoyanov Gardzhev",Bulgaria,Wrestling,2,1,0,1
"Kerstin Garefrekes",Germany,Football,2,0,0,2
"Mateo Garralda Larumbe",Spain,Handball,2,0,0,2
"John Carlyle "Johnny"" Garrels"","United States",Athletics,2,0,1,1
"John Bright "Jack"" Garrison"","United States","Ice Hockey",2,0,1,1
"Zina Lynna Garrison (-Jackson)","United States",Tennis,2,1,0,1
"Enrico Garzelli",Italy,Rowing,2,0,2,0
"Marc Gasol Sez",Spain,Basketball,2,0,2,0
"Valentino Gasparella",Italy,Cycling,2,1,0,1
"Idalmis Gato Moya",Cuba,Volleyball,2,2,0,0
"Cristian Gau",Romania,Handball,2,0,1,1
"Hartwig Gauder","East Germany",Athletics,2,1,0,1
"Paul Charles Gaudoin",Australia,Hockey,2,0,0,2
"Shunpei Uto",Japan,Swimming,2,0,1,1
"Reika Utsugi",Japan,Softball,2,0,1,1
"Peter Utzschneider","West Germany-1",Bobsleigh,2,0,0,2
"Gennady Viktorovich Vaganov","Soviet Union","Cross Country Skiing",2,0,0,2
"Sarah Marie Vaillancourt",Canada,"Ice Hockey",2,2,0,0
"Attila Sandr Vajda",Hungary,Canoeing,2,1,0,1
"Yelena Valeryevna Vlbe (Trubitsyna-)",Russia,"Cross Country Skiing",2,2,0,0
"Fulvio Valbusa",Italy,"Cross Country Skiing",2,1,1,0
"Natalia Valeeva","Unified Team",Archery,2,0,0,2
"Voldemar Vli",Estonia,Wrestling,2,1,0,1
"Andrew Orlando Valmon","United States",Athletics,2,2,0,0
"Charlotte Willemijn "Lotte"" van Beek"",Netherlands,"Speed Skating",2,1,0,1
"Ivo Van Damme",Belgium,Athletics,2,0,2,0
"Fleur Nicolette Andrea van de Kieft",Netherlands,Hockey,2,0,0,2
"Robert Van de Walle",Belgium,Judo,2,1,0,1
"Dillianne van den Boogaard",Netherlands,Hockey,2,0,0,2
"Jean Van Den Bosch",Belgium,Cycling,2,0,1,1
"Taco Hajo van den Honert",Netherlands,Hockey,2,1,0,1
"Anna van der Breggen",Netherlands,Cycling,2,1,0,1
"Cameron van der Burgh","South Africa",Swimming,2,1,1,0
"Kirsten Irene Merian van der Kolk (-Aardewijn)",Netherlands,Rowing,2,1,0,1
"Roelof Anttonius "Olof"" van der Meulen"",Netherlands,Volleyball,2,1,1,0
"Macha Alexandra van der Vaart",Netherlands,Hockey,2,0,1,1
"Sander Petrus Henricus van der Weide",Netherlands,Hockey,2,1,1,0
"Jan van der Wiel",Netherlands,Fencing,2,0,0,2
"Susan Jacobien Unia "Suzan"" van der Wielen (-Veen)"",Netherlands,Hockey,2,0,0,2
"Pieta Roberta van Dishoeck",Netherlands,Rowing,2,0,2,0
"Marieke Birgitta van Doorn",Netherlands,Hockey,2,1,0,1
"Jacobus Johannes "Jacques"" van Egmond"",Netherlands,Cycling,2,1,1,0
"Marit van Eupen",Netherlands,Rowing,2,1,0,1
"Marianne Antoinette "Miek"" van Geenhuizen"",Netherlands,Hockey,2,1,1,0
"Margot van Geffen",Netherlands,Hockey,2,1,1,0
"Willem "Wim"" van Heel"",Netherlands,Hockey,2,0,1,1
"Caia Jaqueline van Maasakker",Netherlands,Hockey,2,1,1,0
"Kitty van Male",Netherlands,Hockey,2,1,1,0
"Aletta van Manen",Netherlands,Hockey,2,1,0,1
"Wouter van Pelt",Netherlands,Hockey,2,2,0,0
"Dorian Benno Eric van Rijsselberge",Netherlands,Sailing,2,2,0,0
"Manon van Rooijen",Netherlands,Swimming,2,1,1,0
"Annemarieke van Rumpt",Netherlands,Rowing,2,0,1,1
"Margot Wilhelmina Teunisje "Wilma"" van Velsen"",Netherlands,Swimming,2,0,1,1
"Arie Gerrit van Vliet",Netherlands,Cycling,2,1,1,0
"Remco van Wijk",Netherlands,Hockey,2,2,0,0
"Gella Vandecaveye",Belgium,Judo,2,0,1,1
"tienne Nol Henri Vandernotte",France,Rowing,2,0,0,2
"Bice Vanzetta",Italy,"Cross Country Skiing",2,0,0,2
"Emil Ernst Vre (-Viln)",Finland,Wrestling,2,2,0,0
"Tams Varga",Hungary,"Water Polo",2,2,0,0
"Lzaro Vargas lvarez",Cuba,Baseball,2,2,0,0
"Attila Vri",Hungary,"Water Polo",2,2,0,0
"Neculai Vasilca",Romania,Handball,2,0,0,2
"Elvira Adolfovna Vasilkova (-Buchenkova)","Soviet Union",Swimming,2,0,1,1
"Dmitry Vladimirovich Vasilyev","Soviet Union",Biathlon,2,2,0,0
"Emilia Vtoiu-Li",Romania,Gymnastics,2,0,0,2
"Vilhelm "Vilho"" Vauhkonen"",Finland,Shooting,2,0,0,2
"Stephan Patrick Veen",Netherlands,Hockey,2,2,0,0
"Bart Veldkamp",Netherlands,"Speed Skating",2,1,0,1
"Vida Vencien (Mogenyt-)","Soviet Union","Cross Country Skiing",2,1,0,1
"Josef Vntus",Czechoslovakia,Rowing,2,0,0,2
"Aleksey Igoryevich Verbov",Russia,Volleyball,2,0,0,2
"Cyrille C. Verbrugge",Belgium,Fencing,2,2,0,0
"Legna Verdecia Rodrguez",Cuba,Judo,2,1,0,1
"Richard Verderber",Austria,Fencing,2,0,1,1
"kos Vereckei",Hungary,Canoeing,2,2,0,0
"Gyz Veres",Hungary,Weightlifting,2,0,0,2
"Mariya Dimitrova Vergova-Petkova",Bulgaria,Athletics,2,0,2,0
"Carl Eduard Verheijen",Netherlands,"Speed Skating",2,0,0,2
"Michel Herv Vermeulin",France,Cycling,2,1,1,0
"Zdena Vemiovsk",Czechoslovakia,Gymnastics,2,1,1,0
"Oleh Yuriyovych Verniaiev",Ukraine,Gymnastics,2,1,1,0
"George Edward Vernot",Canada,Swimming,2,0,1,1
"Zoltn Verraszt",Hungary,Swimming,2,0,1,1
"Jzsef Vrtesy (Vrbel-)",Hungary,"Water Polo",2,1,1,0
"Koen Verweij",Netherlands,"Speed Skating",2,1,1,0
"Mette Vestergaard Larsen (-Brandt)",Denmark,Handball,2,2,0,0
"Jessica Ann "Jessie"" Vetter"","United States","Ice Hockey",2,0,2,0
"Ernst Vettori",Austria,"Ski Jumping",2,1,1,0
"Natalia Va Dufresne Perea",Spain,Sailing,2,0,2,0
"Pierfranco Vianelli",Italy,Cycling,2,1,0,1
"Maria Vicol (Titi-)",Romania,Fencing,2,0,0,2
"Lynn Marie Vidali (-Gautschi)","United States",Swimming,2,0,1,1
"Blagoja Vidini",Yugoslavia,Football,2,1,1,0
"Ingrid Anna Kristina Vikman",Sweden,"Ice Hockey",2,0,1,1
"Vladimir Ivanovich Vikulov","Soviet Union","Ice Hockey",2,2,0,0
"Franois Antoine Vilamitjana (Caubet-)",Martha-1,Sailing,2,0,1,1
"Olga Gennadyevna Vilukhina",Russia,Biathlon,2,0,2,0
"Hctor Vinent Chron",Cuba,Boxing,2,2,0,0
"Hans Vinjarengen",Norway,"Nordic Combined",2,0,1,1
"Aleksandr Yuryevich Vinogradov","Soviet Union",Canoeing,2,2,0,0
"Aleksandr Nikolayevich Vinokurov",Kazakhstan,Cycling,2,1,1,0
"Virna Cristine Dantes Dias",Brazil,Volleyball,2,0,0,2
"Lauri Johannes "Lasse"" Virtanen"",Finland,Athletics,2,0,0,2
"Tessa Jane Virtue (-McCormick)",Canada-1,"Figure Skating",2,1,1,0
"Erzsbet Viski",Hungary,Canoeing,2,0,2,0
"Biserka Vinji",Yugoslavia,Handball,2,1,1,0
"Blanka Vlai",Croatia,Athletics,2,0,1,1
"Roman Andreyevich Vlasov",Russia,Wrestling,2,2,0,0
"Yury Petrovich Vlasov","Soviet Union",Weightlifting,2,1,1,0
"Kirsten Vlieghuis",Netherlands,Swimming,2,0,0,2
"Vclav Vochoska",Czechoslovakia,Rowing,2,0,0,2
"Nataliya Aleksandrovna Vodopyanova",Russia,Basketball,2,0,0,2
"Matthew Haynes "Matt"" Vogel"","United States",Swimming,2,2,0,0
"Maricel Voinea",Romania,Handball,2,0,0,2
"Aleksandr Aleksandrovich Volkov",Russia,Volleyball,2,1,0,1
"Dmitry Arkadyevich Volkov","Soviet Union",Swimming,2,0,0,2
"Bryan Daniel Volpenhein","United States",Rowing,2,1,0,1
"Helga Margot Volz-Mees",Germany,Fencing,2,0,1,1
"Georg Gustaf Wilhelm von Braun",Sweden,Equestrianism,2,2,0,0
"Wilhelmina Catherine "Billie"" von Bremen (-Asch)"","United States",Athletics,2,1,0,1
"Friedrich Leopold Harry von Rochow",Germany,Equestrianism,2,0,2,0
"Clarence von Rosen  Jr.",Sweden,Equestrianism,2,0,0,2
"Pauline Sophie von Weiler (-Le Poole)",Netherlands,Hockey,2,1,0,1
"Peter Vonhof","West Germany",Cycling,2,2,0,0
"Igor Vori",Croatia,Handball,2,1,0,1
"Nataliya Vitalyevna Vorobyova",Russia,Wrestling,2,1,1,0
"Igor Nikolayevich Voronchikhin","Soviet Union","Cross Country Skiing",2,0,0,2
"Marianne Vos",Netherlands,Cycling,2,2,0,0
"Mirko Vuillermin",Italy,"Short Track Speed Skating",2,1,1,0
"Vladimir "Vlada"" Vujasinovi"","Serbia and Montenegro","Water Polo",2,0,1,1
"Goran Vujevi","Serbia and Montenegro",Volleyball,2,1,0,1
"Zvonimir "Zvonko"" Vujin"",Yugoslavia,Boxing,2,0,0,2
"Veselin Vujovi",Yugoslavia,Handball,2,1,0,1
"Bernard Vukas",Yugoslavia,Football,2,0,2,0
"Drago Vukovi",Croatia,Handball,2,1,0,1
"Arkady Arkadyevich Vyachanin",Russia,Swimming,2,0,0,2
"Konstantin Grigoryevich Vyrupayev","Soviet Union",Wrestling,2,1,0,1
